Feature,Coefficient,Absolute_Importance
RPDE_roll_std_3,-0.37789119636897794,0.37789119636897794
DFA_lag_3,-0.33550606376729775,0.33550606376729775
DFA_roll_std_3,-0.33204356076248587,0.33204356076248587
Shimmer:APQ5_roll_std_3,-0.3182646068426038,0.3182646068426038
Shimmer(dB)_historical_variability,0.24166945681417928,0.24166945681417928
Shimmer:APQ11_lag_3,0.21578309115466254,0.21578309115466254
Shimmer_lag_3,-0.1624009915908573,0.1624009915908573
Jitter(Abs)_lag_2,-0.12957623766221094,0.12957623766221094
NHR_roll_std_3,0.11758803981570054,0.11758803981570054
HNR_lag_3,0.10166722078747625,0.10166722078747625
HNR_roll_std_3,0.07150584689770767,0.07150584689770767
RPDE_lag_3,0.023345140494029692,0.023345140494029692
Shimmer:APQ11_historical_variability,-0.012617574764817618,0.012617574764817618
PPE_rate_change,-0.006523944798914272,0.006523944798914272
